Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Biological Process	GO:0072006	nephron development	 	1.633E-4	8.800E-1	6.923E-3	6.348E-2	12	240	PKD2,PDGFD,OSR1,MYC,BCL2,SIX4,MAGI2,SULF1,TCF21,EDNRA,HEYL,PLCE1
GO: Biological Process	GO:0010562	positive regulation of phosphorus metabolic process	 	1.644E-4	8.861E-1	6.923E-3	6.348E-2	31	1089	ABL1,TLR6,PKD2,ANXA2,RGCC,NOX4,LRRC46,PDGFD,PDE5A,FYN,PROX1,MYC,INHBA,SLCO3A1,BCL2,MAP3K12,MPRIP,NRP1,RGMA,MAGI2,CNTRL,GRB10,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MOB3B,SMAD3,TPD52L1
GO: Biological Process	GO:0045937	positive regulation of phosphate metabolic process	 	1.644E-4	8.861E-1	6.923E-3	6.348E-2	31	1089	ABL1,TLR6,PKD2,ANXA2,RGCC,NOX4,LRRC46,PDGFD,PDE5A,FYN,PROX1,MYC,INHBA,SLCO3A1,BCL2,MAP3K12,MPRIP,NRP1,RGMA,MAGI2,CNTRL,GRB10,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MOB3B,SMAD3,TPD52L1
GO: Biological Process	GO:0006809	nitric oxide biosynthetic process	 	1.780E-4	9.593E-1	7.437E-3	6.819E-2	8	111	DDAH1,ESR1,TLR6,PKD2,CYP1B1,SIRPA,EDN1,SMAD3
GO: Biological Process	GO:0014909	smooth muscle cell migration	 	1.989E-4	1.000E0	7.933E-3	7.274E-2	9	143	SSH1,NOX4,IGFBP3,PDGFD,MYC,CYP1B1,BCL2,NRP1,GRB10
GO: Biological Process	GO:0061441	renal artery morphogenesis	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	PKD2,NRP1
GO: Biological Process	GO:0072186	metanephric cap morphogenesis	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	OSR1,MYC
GO: Biological Process	GO:0072185	metanephric cap development	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	OSR1,MYC
GO: Biological Process	GO:0090094	metanephric cap mesenchymal cell proliferation involved in metanephros development	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	OSR1,MYC
GO: Biological Process	GO:0072208	metanephric smooth muscle tissue development	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	PKD2,OSR1
GO: Biological Process	GO:0044751	cellular response to human chorionic gonadotropin stimulus	 	2.008E-4	1.000E0	7.933E-3	7.274E-2	2	2	EDN1,EDNRA
GO: Biological Process	GO:0048588	developmental cell growth	 	2.016E-4	1.000E0	7.933E-3	7.274E-2	15	361	ABL1,MAP2,COL14A1,ALCAM,COL6A3,TNC,FOXP1,NRP1,STIM1,RGMA,RTN4,EDN1,EDNRA,MACF1,SMAD7
GO: Biological Process	GO:0060384	innervation	 	2.089E-4	1.000E0	8.158E-3	7.480E-2	5	39	ALCAM,NRP1,SULF1,EDN1,EDNRA
GO: Biological Process	GO:0051496	positive regulation of stress fiber assembly	 	2.156E-4	1.000E0	8.236E-3	7.552E-2	6	61	ABL1,CARMIL1,RGCC,NOX4,NRP1,SMAD3
GO: Biological Process	GO:0031032	actomyosin structure organization	 	2.178E-4	1.000E0	8.236E-3	7.552E-2	13	285	ABL1,ACTN1,CNN3,CARMIL1,RGCC,NOX4,FOXP1,PROX1,SIX4,ITGB5,NRP1,EDN1,SMAD3
GO: Biological Process	GO:0061438	renal system vasculature morphogenesis	 	2.185E-4	1.000E0	8.236E-3	7.552E-2	3	9	PKD2,NRP1,TCF21
GO: Biological Process	GO:0061439	kidney vasculature morphogenesis	 	2.185E-4	1.000E0	8.236E-3	7.552E-2	3	9	PKD2,NRP1,TCF21
GO: Biological Process	GO:0071373	cellular response to luteinizing hormone stimulus	 	2.185E-4	1.000E0	8.236E-3	7.552E-2	3	9	CYP1B1,EDN1,EDNRA
GO: Biological Process	GO:0090287	regulation of cellular response to growth factor stimulus	 	2.207E-4	1.000E0	8.262E-3	7.576E-2	17	447	ABL1,MMP2,FST,SMURF2,JCAD,IGFBP3,RASL11B,ZNF423,NRP1,RGMA,SULF1,SUPT5H,GRB10,SPRY4,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0043408	regulation of MAPK cascade	 	2.253E-4	1.000E0	8.369E-3	7.674E-2	26	860	DOK6,TRAF1,ABL1,ESR1,TLR6,F2R,NOD1,JCAD,NOX4,AKAP12,IGFBP3,PDGFD,PDE5A,MYC,INHBA,SIRPA,MAP3K12,NRP1,KSR1,EDN1,EDNRA,TGFB2,SPRY4,IRAK3,TPD52L1,PLCE1
GO: Biological Process	GO:0060560	developmental growth involved in morphogenesis	 	2.267E-4	1.000E0	8.369E-3	7.674E-2	16	406	ABL1,MAP2,ESR1,ALCAM,COL6A3,TNC,AKAP12,SIX4,NRP1,STIM1,RGMA,MAGI2,RTN4,EDN1,EDNRA,MACF1
GO: Biological Process	GO:0043584	nose development	 	2.313E-4	1.000E0	8.425E-3	7.725E-2	4	22	GNG8,ALDH1A3,PROX1,SIX4
GO: Biological Process	GO:0090136	epithelial cell-cell adhesion	 	2.313E-4	1.000E0	8.425E-3	7.725E-2	4	22	SVEP1,CYP1B1,ITGB5,THBS4
GO: Biological Process	GO:0048754	branching morphogenesis of an epithelial tube	 	2.399E-4	1.000E0	8.677E-3	7.957E-2	11	214	ABL1,ESR1,PKD2,TNC,MYC,BCL2,SIX4,NRP1,TCF21,EDN1,EDNRA
GO: Biological Process	GO:0045944	positive regulation of transcription by RNA polymerase II	 	2.458E-4	1.000E0	8.832E-3	8.099E-2	37	1427	DPF1,CDKN2A,ABL1,ESR1,KPNA6,RXRG,RPRD1B,EBF2,PKD2,CREB3L2,ANXA2,RGCC,POU5F1,MED15,MICAL2,OSR1,FOXP1,ZFHX3,MAML2,PROX1,MYC,INHBA,SIX4,RGMA,NFATC2,SUPT5H,NPAS2,TCF21,EDN1,MSGN1,ZBTB49,HEYL,RNASEL,LUM,ELL,EPAS1,SMAD3
GO: Biological Process	GO:0031401	positive regulation of protein modification process	 	2.604E-4	1.000E0	9.296E-3	8.524E-2	33	1221	CDKN2A,ABL1,TLR6,PKD2,ANXA2,RGCC,NOX4,PIAS1,LRRC46,PDGFD,PDE5A,FYN,PROX1,INHBA,WBP1L,SLCO3A1,BCL2,MAP3K12,MPRIP,NRP1,RGMA,MAGI2,NNMT,CNTRL,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,MOB3B,SMAD7,TPD52L1
GO: Biological Process	GO:0060429	epithelium development	 	2.628E-4	1.000E0	9.319E-3	8.545E-2	47	1979	CDKN2A,ABL1,ESR1,TRPS1,SVEP1,PKD2,ALCAM,MMP2,ALDH1A3,FST,SMURF2,CNN3,FNDC3B,TNC,CCDC80,POU5F1,AKAP12,IGFBP3,MICAL2,VCAN,OSR1,PRICKLE2,FOXP1,FYN,PROX1,MYC,INHBA,BCL2,SIX4,BFSP1,NRP1,RGMA,MAGI2,PTPRE,SULF1,TCF21,RTN4,LAMB1,CASP8,EDN1,EDNRA,MSGN1,TGFB2,HEYL,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0001755	neural crest cell migration	 	2.709E-4	1.000E0	9.545E-3	8.753E-2	8	118	TNC,ANXA6,RADIL,MASP1,NRP1,CAPZB,EDN1,EDNRA
GO: Biological Process	GO:0046209	nitric oxide metabolic process	 	2.870E-4	1.000E0	1.004E-2	9.210E-2	8	119	DDAH1,ESR1,TLR6,PKD2,CYP1B1,SIRPA,EDN1,SMAD3
GO: Biological Process	GO:0036293	response to decreased oxygen levels	 	3.012E-4	1.000E0	1.037E-2	9.511E-2	19	547	DDAH1,MLH1,MMP2,RGCC,NOX4,IGFBP3,PDE5A,MYC,TM9SF4,BCL2,NRP1,RTN4,EDN1,EDNRA,TGFB2,LIPA,LOXL2,EPAS1,SMAD3
GO: Biological Process	GO:0045429	positive regulation of nitric oxide biosynthetic process	 	3.060E-4	1.000E0	1.037E-2	9.511E-2	6	65	DDAH1,ESR1,TLR6,PKD2,EDN1,SMAD3
GO: Biological Process	GO:0071772	response to BMP	 	3.062E-4	1.000E0	1.037E-2	9.511E-2	12	257	ABL1,FST,SMURF2,POU5F1,IGFBP3,ZNF423,RGMA,SULF1,TGFB2,HEYL,SMAD3,SMAD7
GO: Biological Process	GO:0071773	cellular response to BMP stimulus	 	3.062E-4	1.000E0	1.037E-2	9.511E-2	12	257	ABL1,FST,SMURF2,POU5F1,IGFBP3,ZNF423,RGMA,SULF1,TGFB2,HEYL,SMAD3,SMAD7
GO: Biological Process	GO:0045892	negative regulation of DNA-templated transcription	 	3.065E-4	1.000E0	1.037E-2	9.511E-2	38	1497	DPF1,CDKN2A,ESR1,MBD1,TRPS1,KLF3,FOXN3,TENM2,FHL2,FST,SMURF2,FOXL1,POU5F1,PIAS1,OSR1,FOXP1,ZFHX3,L3MBTL3,PROX1,MYC,ZNF423,ZNF217,SIX4,MAGEF1,PRDM8,NFATC2,SUPT5H,SIN3B,TCF21,EDN1,ZBTB49,HEYL,LOXL2,ZNF727,EPAS1,LRRFIP1,SMAD3,SMAD7
GO: Biological Process	GO:0045596	negative regulation of cell differentiation	 	3.079E-4	1.000E0	1.037E-2	9.511E-2	27	927	CDKN2A,TRIO,MAP2,MBD1,MBP,F2R,FST,FNDC3B,TNC,POU5F1,MIR100,OSR1,FOXP1,ZFHX3,PROX1,MYC,INHBA,SIX4,NRP1,RGMA,KANK1,NFATC2,RTN4,TGFB2,SPRY4,SMAD3,SMAD7
GO: Biological Process	GO:0010631	epithelial cell migration	 	3.157E-4	1.000E0	1.056E-2	9.686E-2	17	461	ABL1,VSTM4,RIN2,AMOTL1,JCAD,RGCC,FOXP1,PROX1,CYP1B1,NRP1,KANK1,RTN4,ADTRP,EDN1,TGFB2,LOXL2,MACF1
GO: Biological Process	GO:1903507	negative regulation of nucleic acid-templated transcription	 	3.187E-4	1.000E0	1.056E-2	9.686E-2	38	1500	DPF1,CDKN2A,ESR1,MBD1,TRPS1,KLF3,FOXN3,TENM2,FHL2,FST,SMURF2,FOXL1,POU5F1,PIAS1,OSR1,FOXP1,ZFHX3,L3MBTL3,PROX1,MYC,ZNF423,ZNF217,SIX4,MAGEF1,PRDM8,NFATC2,SUPT5H,SIN3B,TCF21,EDN1,ZBTB49,HEYL,LOXL2,ZNF727,EPAS1,LRRFIP1,SMAD3,SMAD7
GO: Biological Process	GO:2001057	reactive nitrogen species metabolic process	 	3.214E-4	1.000E0	1.056E-2	9.686E-2	8	121	DDAH1,ESR1,TLR6,PKD2,CYP1B1,SIRPA,EDN1,SMAD3
GO: Biological Process	GO:0090497	mesenchymal cell migration	 	3.214E-4	1.000E0	1.056E-2	9.686E-2	8	121	TNC,ANXA6,RADIL,MASP1,NRP1,CAPZB,EDN1,EDNRA
GO: Biological Process	GO:0031399	regulation of protein modification process	 	3.264E-4	1.000E0	1.061E-2	9.726E-2	45	1886	CDKN2A,ABL1,TLR6,ANKRD54,PKD2,SH3BP5,ANXA2,RGCC,NOX4,PIAS1,PRKAG3,LRRC46,IGFBP3,VCAN,PDGFD,PDE5A,FYN,PROX1,INHBA,WBP1L,SLCO3A1,BCL2,SIRPA,MAP3K12,MPRIP,NRP1,RGMA,MAGI2,KSR1,NNMT,TCF21,CNTRL,LRRK1,ADTRP,EDN1,EDNRA,TGFB2,THBS4,SPRY4,MOB3B,IRAK3,EPAS1,SMAD7,TPD52L1,PLCE1
GO: Biological Process	GO:0031327	negative regulation of cellular biosynthetic process	 	3.267E-4	1.000E0	1.061E-2	9.726E-2	46	1942	DPF1,CDKN2A,ESR1,MBD1,TRPS1,KLF3,FOXN3,TENM2,MLH1,FHL2,FST,SMURF2,FOXL1,POU5F1,PIAS1,MIR100,ORMDL2,OSR1,FOXP1,ZFHX3,PUM1,FYN,L3MBTL3,PROX1,MYC,ZNF423,ZNF217,SIRPA,SIX4,PTGFRN,MAGEF1,PRDM8,NFATC2,SUPT5H,SIN3B,TCF21,GRB10,EDN1,ZBTB49,HEYL,LOXL2,ZNF727,EPAS1,LRRFIP1,SMAD3,SMAD7
GO: Biological Process	GO:0048477	oogenesis	 	3.344E-4	1.000E0	1.077E-2	9.876E-2	10	187	HENMT1,MLH1,FST,PDE5A,PUM1,PANX1,BCL2,CNTRL,EDN1,EDNRA
GO: Biological Process	GO:1902679	negative regulation of RNA biosynthetic process	 	3.357E-4	1.000E0	1.077E-2	9.876E-2	38	1504	DPF1,CDKN2A,ESR1,MBD1,TRPS1,KLF3,FOXN3,TENM2,FHL2,FST,SMURF2,FOXL1,POU5F1,PIAS1,OSR1,FOXP1,ZFHX3,L3MBTL3,PROX1,MYC,ZNF423,ZNF217,SIX4,MAGEF1,PRDM8,NFATC2,SUPT5H,SIN3B,TCF21,EDN1,ZBTB49,HEYL,LOXL2,ZNF727,EPAS1,LRRFIP1,SMAD3,SMAD7
GO: Biological Process	GO:0071407	cellular response to organic cyclic compound	 	3.378E-4	1.000E0	1.077E-2	9.879E-2	26	883	ABL1,ESR1,RXRG,SSH1,PKD2,MLH1,MMP2,MN1,TNC,NOX4,MIR100,IGFBP3,PLPP1,FOXP1,MYC,CYP1B1,INHBA,PANX1,BCL2,TCF21,CASP7,CASP8,ADTRP,EDN1,HEYL,LTBP1
GO: Biological Process	GO:0034446	substrate adhesion-dependent cell spreading	 	3.591E-4	1.000E0	1.132E-2	1.038E-1	8	123	ABL1,FNDC3B,CARMIL1,RADIL,NRP1,KANK1,LAMB1,SPRY4
GO: Biological Process	GO:0072132	mesenchyme morphogenesis	 	3.611E-4	1.000E0	1.132E-2	1.038E-1	6	67	OSR1,MYC,MSGN1,TGFB2,HEYL,SMAD3
GO: Biological Process	GO:1904407	positive regulation of nitric oxide metabolic process	 	3.611E-4	1.000E0	1.132E-2	1.038E-1	6	67	DDAH1,ESR1,TLR6,PKD2,EDN1,SMAD3
GO: Biological Process	GO:0090132	epithelium migration	 	3.661E-4	1.000E0	1.141E-2	1.046E-1	17	467	ABL1,VSTM4,RIN2,AMOTL1,JCAD,RGCC,FOXP1,PROX1,CYP1B1,NRP1,KANK1,RTN4,ADTRP,EDN1,TGFB2,LOXL2,MACF1
GO: Biological Process	GO:0033993	response to lipid	 	3.758E-4	1.000E0	1.158E-2	1.062E-1	39	1567	CDKN2A,ABL1,MAP2,ESR1,MBD1,MBP,LY96,F2R,RXRG,MMP2,MN1,TNC,POU5F1,MIR100,AKAP12,IGFBP3,PLPP1,OSR1,FOXP1,PDE5A,PROS1,MYC,CYP1B1,INHBA,GPR84,BCL2,SIRPA,SOCS2,FIBIN,TCF21,CASP8,ADTRP,EDN1,EDNRA,TGFB2,HEYL,IRAK3,LTBP1,EPAS1
GO: Biological Process	GO:0051093	negative regulation of developmental process	 	3.759E-4	1.000E0	1.158E-2	1.062E-1	34	1299	CDKN2A,TRIO,MAP2,MBD1,MBP,F2R,FST,FNDC3B,TNC,RGCC,POU5F1,MIR100,OSR1,FOXP1,ZFHX3,PROX1,MYC,INHBA,BCL2,SIX4,NRP1,SOCS2,RGMA,KANK1,NFATC2,SULF1,RTN4,ARPIN-AP3S2,TGFB2,THBS4,LOXL2,SPRY4,SMAD3,SMAD7
GO: Biological Process	GO:0042542	response to hydrogen peroxide	 	3.823E-4	1.000E0	1.171E-2	1.073E-1	11	226	CDKN2A,ABL1,MMP2,PDGFD,FOXP1,FYN,CYP1B1,BCL2,SIRPA,EDN1,EDNRA
GO: Biological Process	GO:0062197	cellular response to chemical stress	 	3.844E-4	1.000E0	1.171E-2	1.073E-1	17	469	CDKN2A,ABL1,TLR6,PKD2,MMP2,MIR100,PDGFD,FOXP1,FYN,MYC,CYP1B1,BCL2,SIRPA,UACA,EDN1,EDNRA,EPAS1
GO: Biological Process	GO:0034599	cellular response to oxidative stress	 	3.887E-4	1.000E0	1.177E-2	1.079E-1	15	384	CDKN2A,ABL1,TLR6,PKD2,MMP2,PDGFD,FOXP1,FYN,CYP1B1,BCL2,SIRPA,UACA,EDN1,EDNRA,EPAS1
GO: Biological Process	GO:0071560	cellular response to transforming growth factor beta stimulus	 	4.266E-4	1.000E0	1.285E-2	1.178E-1	14	346	ABL1,MMP2,SMURF2,NOX4,PDGFD,RASL11B,FYN,ITGB5,DYNLRB1,EDN1,TGFB2,LTBP1,SMAD3,SMAD7
GO: Biological Process	GO:0110020	regulation of actomyosin structure organization	 	4.453E-4	1.000E0	1.323E-2	1.213E-1	8	127	ABL1,CARMIL1,RGCC,NOX4,PROX1,NRP1,EDN1,SMAD3
GO: Biological Process	GO:0045428	regulation of nitric oxide biosynthetic process	 	4.474E-4	1.000E0	1.323E-2	1.213E-1	7	97	DDAH1,ESR1,TLR6,PKD2,SIRPA,EDN1,SMAD3
GO: Biological Process	GO:0002520	immune system development	 	4.486E-4	1.000E0	1.323E-2	1.213E-1	40	1636	CDKN2A,ABL1,KLF3,ACTN1,F2R,SLC25A37,ANKRD54,EPS15L1,MLH1,UNG,FST,FOXL1,ANXA2,ST3GAL1,FOXP1,L3MBTL3,MYC,INHBA,WBP1L,SRP54,BCL2,SIRPA,SIX4,DHX8,NRP1,SUPT5H,RABGAP1L,JAM3,TCF21,CASP8,LRRK1,ADTRP,TGFB2,ZBTB49,ANGPTL2,SPRY4,IRAK3,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0042474	middle ear morphogenesis	 	4.523E-4	1.000E0	1.323E-2	1.213E-1	4	26	OSR1,MYC,EDN1,EDNRA
GO: Biological Process	GO:0048562	embryonic organ morphogenesis	 	4.525E-4	1.000E0	1.323E-2	1.213E-1	21	658	PKD2,ALCAM,ALDH1A3,FST,COL8A1,CHSY1,IGFBP3,MICAL2,OSR1,PROX1,MYC,SIX4,CRISPLD2,TCF21,RTN4,LAMB1,EDN1,EDNRA,TGFB2,LUM,SMAD3
GO: Biological Process	GO:0032924	activin receptor signaling pathway	 	4.580E-4	1.000E0	1.323E-2	1.213E-1	6	70	FST,OSR1,INHBA,MAGI2,SMAD3,SMAD7
GO: Biological Process	GO:0001558	regulation of cell growth	 	4.584E-4	1.000E0	1.323E-2	1.213E-1	19	566	CDKN2A,ABL1,MAP2,COL14A1,TNC,IGFBP3,FOXP1,INHBA,BCL2,NRP1,SOCS2,RGMA,RTN4,EDN1,TGFB2,MACF1,SMAD3,SMAD7,PLCE1
GO: Biological Process	GO:0071711	basement membrane organization	 	4.588E-4	1.000E0	1.323E-2	1.213E-1	5	46	COL14A1,FLRT2,PXDN,LAMA2,LAMB1
GO: Biological Process	GO:0090130	tissue migration	 	4.658E-4	1.000E0	1.335E-2	1.225E-1	17	477	ABL1,VSTM4,RIN2,AMOTL1,JCAD,RGCC,FOXP1,PROX1,CYP1B1,NRP1,KANK1,RTN4,ADTRP,EDN1,TGFB2,LOXL2,MACF1
GO: Biological Process	GO:0030308	negative regulation of cell growth	 	4.767E-4	1.000E0	1.352E-2	1.240E-1	11	232	CDKN2A,MAP2,TNC,FOXP1,INHBA,BCL2,NRP1,RGMA,RTN4,TGFB2,SMAD3
GO: Biological Process	GO:1903034	regulation of response to wounding	 	4.767E-4	1.000E0	1.352E-2	1.240E-1	11	232	F2R,COL12A1,TNC,ANXA2,PROS1,RGMA,KANK1,RTN4,ADTRP,EDN1,SMAD3
GO: Biological Process	GO:0034763	negative regulation of transmembrane transport	 	5.043E-4	1.000E0	1.420E-2	1.302E-1	10	197	ESR1,KCNE4,PKD2,ANK3,OSR1,MYC,BCL2,SLC30A1,GRB10,TGFB2
GO: Biological Process	GO:0060538	skeletal muscle organ development	 	5.059E-4	1.000E0	1.420E-2	1.302E-1	14	352	ACTN1,RXRG,FOXP1,MYC,BCL2,SIX4,PDLIM3,SVIL,SIN3B,TCF21,LAMA2,TGFB2,HEYL,SPRY4
GO: Biological Process	GO:0001816	cytokine production	 	5.128E-4	1.000E0	1.432E-2	1.313E-1	29	1060	ABL1,MBP,KPNA6,LY96,TLR6,F2R,NOD1,CMKLR1,RGCC,MIR100,AKAP12,FOXP1,CYP1B1,INHBA,PANX1,SIRPA,MAST2,NFATC2,SULF1,RTN4,CASP8,TGFB2,LIPA,SERPINB1,IRAK3,LTBP1,LUM,SMAD3,SMAD7
GO: Biological Process	GO:2000027	regulation of animal organ morphogenesis	 	5.229E-4	1.000E0	1.453E-2	1.332E-1	9	163	ABL1,SMURF2,POU5F1,PRICKLE2,SIX4,MAGI2,SULF1,EDN1,EDNRA
GO: Biological Process	GO:0060324	face development	 	5.331E-4	1.000E0	1.466E-2	1.344E-1	6	72	MMP2,ALDH1A3,CRISPLD2,EDN1,EDNRA,TGFB2
GO: Biological Process	GO:0032233	positive regulation of actin filament bundle assembly	 	5.331E-4	1.000E0	1.466E-2	1.344E-1	6	72	ABL1,CARMIL1,RGCC,NOX4,NRP1,SMAD3
GO: Biological Process	GO:0014910	regulation of smooth muscle cell migration	 	5.476E-4	1.000E0	1.495E-2	1.371E-1	8	131	SSH1,NOX4,IGFBP3,PDGFD,MYC,CYP1B1,BCL2,NRP1
GO: Biological Process	GO:0034699	response to luteinizing hormone	 	5.546E-4	1.000E0	1.495E-2	1.371E-1	3	12	CYP1B1,EDN1,EDNRA
GO: Biological Process	GO:0003330	regulation of extracellular matrix constituent secretion	 	5.546E-4	1.000E0	1.495E-2	1.371E-1	3	12	CREB3L2,RGCC,ADTRP
GO: Biological Process	GO:0003253	cardiac neural crest cell migration involved in outflow tract morphogenesis	 	5.546E-4	1.000E0	1.495E-2	1.371E-1	3	12	NRP1,EDN1,EDNRA
GO: Biological Process	GO:0009890	negative regulation of biosynthetic process	 	5.681E-4	1.000E0	1.523E-2	1.397E-1	46	1992	DPF1,CDKN2A,ESR1,MBD1,TRPS1,KLF3,FOXN3,TENM2,MLH1,FHL2,FST,SMURF2,FOXL1,POU5F1,PIAS1,MIR100,ORMDL2,OSR1,FOXP1,ZFHX3,PUM1,FYN,L3MBTL3,PROX1,MYC,ZNF423,ZNF217,SIRPA,SIX4,PTGFRN,MAGEF1,PRDM8,NFATC2,SUPT5H,SIN3B,TCF21,GRB10,EDN1,ZBTB49,HEYL,LOXL2,ZNF727,EPAS1,LRRFIP1,SMAD3,SMAD7
GO: Biological Process	GO:0086101	endothelin receptor signaling pathway involved in heart process	 	5.883E-4	1.000E0	1.566E-2	1.436E-1	2	3	EDN1,EDNRA
GO: Biological Process	GO:0022612	gland morphogenesis	 	5.898E-4	1.000E0	1.566E-2	1.436E-1	10	201	CDKN2A,ESR1,MMP2,TNC,PROX1,BCL2,NRP1,SULF1,RTN4,TGFB2
GO: Biological Process	GO:0097529	myeloid leukocyte migration	 	5.999E-4	1.000E0	1.585E-2	1.453E-1	13	317	LYST,MTUS1,CMKLR1,MMP2,PDGFD,SRP54,SIRPA,JAM3,RTN4,EDN1,EDNRA,TGFB2,THBS4
GO: Biological Process	GO:0007568	aging	 	6.089E-4	1.000E0	1.598E-2	1.465E-1	15	401	CDKN2A,MBD1,MBP,MMP2,NOX4,IGFBP3,INHBA,BCL2,SOCS2,RTN4,CASP7,EDN1,EDNRA,TGFB2,LOXL2
GO: Biological Process	GO:0030509	BMP signaling pathway	 	6.107E-4	1.000E0	1.598E-2	1.465E-1	11	239	ABL1,FST,SMURF2,POU5F1,IGFBP3,ZNF423,RGMA,SULF1,TGFB2,SMAD3,SMAD7
GO: Biological Process	GO:0080164	regulation of nitric oxide metabolic process	 	6.425E-4	1.000E0	1.673E-2	1.534E-1	7	103	DDAH1,ESR1,TLR6,PKD2,SIRPA,EDN1,SMAD3
GO: Biological Process	GO:0048705	skeletal system morphogenesis	 	6.496E-4	1.000E0	1.683E-2	1.544E-1	16	447	FOXN3,ALCAM,MMP2,FST,ANXA6,CHSY1,OSR1,MYC,SIX4,SULF1,CRISPLD2,RTN4,EDN1,EDNRA,TGFB2,SMAD3
GO: Biological Process	GO:0010935	regulation of macrophage cytokine production	 	6.775E-4	1.000E0	1.747E-2	1.602E-1	5	50	NOD1,PANX1,RTN4,TGFB2,IRAK3
GO: Biological Process	GO:0032652	regulation of interleukin-1 production	 	7.078E-4	1.000E0	1.788E-2	1.640E-1	9	170	TLR6,F2R,NOD1,FOXP1,PANX1,SIRPA,CASP8,SERPINB1,SMAD3
GO: Biological Process	GO:0036072	direct ossification	 	7.135E-4	1.000E0	1.788E-2	1.640E-1	3	13	MMP2,MN1,VCAN
GO: Biological Process	GO:0001957	intramembranous ossification	 	7.135E-4	1.000E0	1.788E-2	1.640E-1	3	13	MMP2,MN1,VCAN
GO: Biological Process	GO:0070371	ERK1 and ERK2 cascade	 	7.142E-4	1.000E0	1.788E-2	1.640E-1	16	451	ABL1,ESR1,F2R,NOD1,NOX4,AKAP12,PDGFD,MYC,INHBA,SIRPA,MAP3K12,NRP1,GRB10,EDN1,EDNRA,SPRY4
GO: Biological Process	GO:1903508	positive regulation of nucleic acid-templated transcription	 	7.156E-4	1.000E0	1.788E-2	1.640E-1	44	1900	DPF1,CDKN2A,ABL1,ESR1,KPNA6,ACTN1,F2R,RXRG,RPRD1B,EBF2,PKD2,UNG,CREB3L2,ANXA2,RGCC,POU5F1,MED15,MICAL2,OSR1,FOXP1,ZFHX3,MAML2,PROX1,MYC,INHBA,ZNF423,SIX4,MAP3K12,RGMA,NFATC2,SUPT5H,TACC1,NPAS2,TCF21,EDN1,MSGN1,TGFB2,ZBTB49,HEYL,RNASEL,LUM,ELL,EPAS1,SMAD3
GO: Biological Process	GO:0045893	positive regulation of DNA-templated transcription	 	7.156E-4	1.000E0	1.788E-2	1.640E-1	44	1900	DPF1,CDKN2A,ABL1,ESR1,KPNA6,ACTN1,F2R,RXRG,RPRD1B,EBF2,PKD2,UNG,CREB3L2,ANXA2,RGCC,POU5F1,MED15,MICAL2,OSR1,FOXP1,ZFHX3,MAML2,PROX1,MYC,INHBA,ZNF423,SIX4,MAP3K12,RGMA,NFATC2,SUPT5H,TACC1,NPAS2,TCF21,EDN1,MSGN1,TGFB2,ZBTB49,HEYL,RNASEL,LUM,ELL,EPAS1,SMAD3
GO: Biological Process	GO:0048534	hematopoietic or lymphoid organ development	 	7.166E-4	1.000E0	1.788E-2	1.640E-1	38	1565	CDKN2A,ABL1,KLF3,ACTN1,F2R,SLC25A37,ANKRD54,EPS15L1,FST,FOXL1,ANXA2,ST3GAL1,FOXP1,L3MBTL3,MYC,INHBA,WBP1L,SRP54,BCL2,SIRPA,SIX4,DHX8,NRP1,SUPT5H,RABGAP1L,JAM3,TCF21,CASP8,LRRK1,ADTRP,TGFB2,ZBTB49,ANGPTL2,SPRY4,IRAK3,EPAS1,SMAD3,SMAD7
GO: Biological Process	GO:0007423	sensory organ development	 	7.429E-4	1.000E0	1.845E-2	1.692E-1	31	1190	GNG8,VSTM4,ALCAM,MMP2,ALDH1A3,FST,FOXL1,COL8A1,CHSY1,IGFBP3,OSR1,PRICKLE2,PROX1,MYC,CYP1B1,INHBA,TTLL5,BCL2,SIX4,BFSP1,NRP1,PXDN,SULF1,RTN4,LAMB1,EDN1,EDNRA,TGFB2,PCSK7,LUM,SMAD3
